League,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
Bundesliga 2,02/12/98,Mainz,Stuttgarter K,1.0,2.0,D
Bundesliga 2,04/12/98,F Koln,Gutersloh,0.0,2.0,H
Bundesliga 2,04/12/98,Karlsruhe,Unterhaching,0.0,0.0,H
Bundesliga 2,04/12/98,Uerdingen,Cottbus,2.0,0.0,D
Bundesliga 2,06/12/98,Dusseldorf,Oberhausen,0.0,2.0,D
Bundesliga 2,06/12/98,Greuther Furth,Ulm,1.0,0.0,H
Bundesliga 2,06/12/98,TB Berlin,Mainz,2.0,0.0,H
Bundesliga 2,06/12/98,Wattenscheid,Hannover,1.0,3.0,A
Bundesliga 2,07/12/98,Bielefeld,FC Koln,4.0,0.0,D
Bundesliga 2,11/12/98,Dusseldorf,F Koln,2.0,2.0,D
Bundesliga 2,11/12/98,Stuttgarter K,Cottbus,2.0,0.0,H
Bundesliga 2,13/12/98,FC Koln,Gutersloh,2.0,1.0,D
Bundesliga 2,13/12/98,Greuther Furth,Mainz,3.0,1.0,H
Bundesliga 2,13/12/98,Wattenscheid,Ulm,2.0,3.0,A
Bundesliga 2,15/12/98,Bielefeld,Unterhaching,1.0,0.0,H
Bundesliga 2,15/12/98,Karlsruhe,Hannover,1.0,0.0,H
Bundesliga 2,15/12/98,Uerdingen,Oberhausen,1.0,2.0,D
Bundesliga 2,18/12/98,Cottbus,TB Berlin,0.0,2.0,D
Bundesliga 2,18/12/98,Hannover,Bielefeld,0.0,1.0,H
Bundesliga 2,18/12/98,Mainz,Wattenscheid,1.0,0.0,H
Bundesliga 2,20/12/98,F Koln,Uerdingen,6.0,1.0,D
Bundesliga 2,20/12/98,Gutersloh,Dusseldorf,2.0,2.0,D
Bundesliga 2,20/12/98,Oberhausen,Stuttgarter K,1.0,1.0,D
Bundesliga 2,20/12/98,St Pauli,Greuther Furth,2.0,2.0,A
Bundesliga 2,20/12/98,Unterhaching,FC Koln,4.0,0.0,H
Bundesliga 2,21/12/98,Ulm,Karlsruhe,1.0,5.0,A
Bundesliga 2,21/02/99,Uerdingen,Hannover,4.0,1.0,H
Bundesliga 2,22/02/99,Stuttgarter K,St Pauli,0.0,3.0,D
Bundesliga 2,26/02/99,FC Koln,Hannover,6.0,2.0,D
Bundesliga 2,26/02/99,Karlsruhe,Mainz,0.0,1.0,H
Bundesliga 2,26/02/99,Wattenscheid,St Pauli,1.0,1.2,H
Bundesliga 2,28/02/99,Greuther Furth,Cottbus,3.0,0.0,D
Bundesliga 2,28/02/99,Stuttgarter K,F Koln,1.0,2.0,D
Bundesliga 2,28/02/99,TB Berlin,Oberhausen,1.0,2.0,D
Bundesliga 2,28/02/99,Uerdingen,Dusseldorf,2.0,0.0,H
Bundesliga 2,28/02/99,Unterhaching,Gutersloh,1.0,0.0,H
Bundesliga 2,01/03/99,Bielefeld,Ulm,2.0,0.0,H
Bundesliga 2,04/03/99,TB Berlin,St Pauli,1.0,2.0,D
Bundesliga 2,05/03/99,Cottbus,Wattenscheid,6.0,0.0,H
Bundesliga 2,05/03/99,Hannover,Unterhaching,1.0,1.0,H
Bundesliga 2,05/03/99,Oberhausen,Greuther Furth,0.0,2.0,D
Bundesliga 2,07/03/99,Dusseldorf,Stuttgarter K,2.0,0.0,D
Bundesliga 2,07/03/99,F Koln,TB Berlin,1.0,3.0,A
Bundesliga 2,07/03/99,Gutersloh,Uerdingen,4.0,0.0,H
Bundesliga 2,07/03/99,St Pauli,Karlsruhe,1.0,0.0,H
Bundesliga 2,07/03/99,Ulm,FC Koln,1.0,2.0,D
Bundesliga 2,08/03/99,Mainz,Bielefeld,2.0,1.0,H
Bundesliga 2,12/03/99,Bielefeld,St Pauli,1.0,0.0,D
Bundesliga 2,12/03/99,Karlsruhe,Cottbus,1.0,2.0,H
Bundesliga 2,12/03/99,Stuttgarter K,Uerdingen,2.0,1.0,D
Bundesliga 2,14/03/99,FC Koln,Mainz,1.0,1.0,H
Bundesliga 2,14/03/99,Greuther Furth,F Koln,0.0,0.8,H
Bundesliga 2,14/03/99,Hannover,Gutersloh,2.0,0.0,H
Bundesliga 2,14/03/99,TB Berlin,Dusseldorf,0.0,1.0,D
Bundesliga 2,14/03/99,Wattenscheid,Oberhausen,0.0,4.0,A
Bundesliga 2,15/03/99,Unterhaching,Ulm,2.0,0.0,H
Bundesliga 2,19/03/99,Cottbus,Bielefeld,2.0,2.0,D
Bundesliga 2,19/03/99,Uerdingen,TB Berlin,1.0,3.0,A
Bundesliga 2,19/03/99,Ulm,Hannover,0.0,1.0,D
Bundesliga 2,21/03/99,Dusseldorf,Greuther Furth,2.0,0.0,D
Bundesliga 2,21/03/99,F Koln,Wattenscheid,1.0,2.0,D
Bundesliga 2,21/03/99,Gutersloh,Stuttgarter K,2.0,0.0,H
Bundesliga 2,21/03/99,Mainz,Unterhaching,3.0,0.0,H
Bundesliga 2,21/03/99,Oberhausen,Karlsruhe,1.0,0.0,H
Bundesliga 2,22/03/99,St Pauli,FC Koln,1.0,0.0,D
Bundesliga 2,01/04/99,Bielefeld,Oberhausen,1.0,0.0,H
Bundesliga 2,01/04/99,TB Berlin,Stuttgarter K,2.0,2.0,A
Bundesliga 2,01/04/99,Unterhaching,St Pauli,1.0,1.0,H
Bundesliga 2,04/04/99,FC Koln,Cottbus,2.0,2.0,D
